campaign_id,scenario,method,report,report_type,edp_count,week_count,truth_union,estimated_union,union_relative_error
venn_sales_prospecting,sales_prospecting,daily_full_venn,noncontiguous__5_edps,noncontiguous,5,6,4572,6956,0.5214348206474191
venn_sales_prospecting,sales_prospecting,daily_full_venn,weeks_1_3__10_edps,prefix,10,3,3030,3770,0.24422442244224424
venn_sales_prospecting,sales_prospecting,daily_full_venn,weeks_1_12__10_edps,prefix,10,12,7281,20363,1.7967312182392527
venn_sales_prospecting,sales_prospecting,daily_full_venn,all_weeks__10_edps,prefix,10,13,7363,21677,1.9440445470596224
venn_sales_prospecting,sales_prospecting,daily_full_venn,weeks_5_12__10_edps,interval,10,8,6654,15235,1.289600240456868
venn_sales_prospecting,sales_prospecting,daily_full_venn,weeks_7_13__10_edps,interval,10,7,6061,12502,1.0626959247648904
venn_sales_prospecting,sales_prospecting,daily_full_venn,noncontiguous__10_edps,noncontiguous,10,6,5266,9224,0.7516141283706799
venn_sales_prospecting,sales_prospecting,daily_full_venn,noncontiguous__2_edps,noncontiguous,2,6,2748,3393,0.23471615720524017
venn_sales_prospecting,sales_prospecting,cumulative_full_venn_recent,weeks_1_3__2_edps,prefix,2,3,1567,1567,0.0
venn_sales_prospecting,sales_prospecting,cumulative_full_venn_recent,weeks_1_12__2_edps,prefix,2,12,4766,4766,0.0
venn_sales_prospecting,sales_prospecting,cumulative_full_venn_recent,weeks_5_12__2_edps,interval,2,8,3880,3753,0.0327319587628866
venn_sales_prospecting,sales_prospecting,cumulative_full_venn_recent,weeks_1_3__5_edps,prefix,5,3,2670,2670,0.0
venn_sales_prospecting,sales_prospecting,cumulative_full_venn_recent,weeks_1_12__5_edps,prefix,5,12,6608,6608,0.0
venn_sales_prospecting,sales_prospecting,cumulative_full_venn_recent,weeks_7_13__5_edps,interval,5,7,5133,4802,0.0644847067991428
venn_sales_prospecting,sales_prospecting,cumulative_full_venn_recent,all_weeks__5_edps,prefix,5,13,6698,6698,0.0
venn_sales_prospecting,sales_prospecting,cumulative_full_venn_recent,noncontiguous__5_edps,noncontiguous,5,6,4572,4315,0.05621172353455818
venn_sales_prospecting,sales_prospecting,cumulative_full_venn_recent,weeks_1_3__10_edps,prefix,10,3,3030,3030,0.0
venn_sales_prospecting,sales_prospecting,cumulative_full_venn_recent,weeks_1_12__10_edps,prefix,10,12,7281,7281,0.0
venn_sales_prospecting,sales_prospecting,cumulative_full_venn_recent,all_weeks__10_edps,prefix,10,13,7363,7363,0.0
venn_sales_prospecting,sales_prospecting,cumulative_full_venn_recent,weeks_5_12__10_edps,interval,10,8,6654,6439,0.03231139164412383
venn_sales_prospecting,sales_prospecting,cumulative_full_venn_recent,weeks_7_13__10_edps,interval,10,7,6061,5551,0.08414453060551064
